33F7CXYXMRWM6OGXJM3U4NTB64	JEAN's the name. <br> <br/> I was born and raised in CALI.
ZSMB52TK2C24U57RKAHOS7JLR4	I have been an ordained minister for almost 20 years now. <br> <br/> <br> <br/> I have also held several positions as Tech Support for two of the main DSL providers in the US (VOL and SBC/AT&T). The last position I held for a DSL Provider was as Team Lead for Second Tier Support for AT&T Internet Services.
ZT44VTHDHAWQVBCVBFZSKGUQCQ	My real name is neither Dresden nor Rose. I took the name Dresden Rose as a memorial to the more than 25,000 (known) civilians who died in Dresden, Germany, February 13 to 15, 1945, when planes of the combined RAF and USAF dropped 3900 toms of incendiary bombs on the city. <br> <br/> <br> <br/> I'm a life-long liberal Democrat. Worked as a volunteer in President Obama's campaigns in 2008 and 2012. I'm totally devoted to President Barack H, Obama who is our greatest president.
ZG7UKMM76JV2XHQTW6IJUTGS3E	As a general rule, I stay out of topics I know little about. Which means if I leave an answer in your question, I know what I'm talking about! <br> <br/> <br> <br/> I may occasionally be mean, try not to be offended by it. I do this to a lot of people. <br> <br/> <br> <br/> For anyone who may be wondering, I'll post a few details about myself: <br> <br/> I'm a guy. <br> <br/> I'm of VERY mixed ethnicity. <br> <br/> I was born in and currently living in Japan. <br> <br/> <br> <br/> If you need further information about one of my answers or would simply like to know more about me, you can write to my E-mail.
ZM6IXRKGWE27GBPCTK5TIYTM7M	College student at Rose-Hulman in Terre Haute, IN. Co-op at General Electric in Cincinnati, OH. Enjoy all water sports, soccer, paintball, disc golf and answering questions.
ZKA7UUKA3AXGUGAOEITYVZJTOA	I'm a guitarist and songwriter in WA state, originally from Alaska. I enjoy philosophy, astronomy, strategy games like Chess or Warcraft III, as well as Poker, which I made a living off of for 6 years.
Z6MTQKWKEST7CZYRDLUYSVJ7N4	Hellur, I'm Rengie Daaz. <br> <br/> I'll do my best to be absolutely amazing. <br> <br/> I try c: <br> <br/> I don't enjoy hateful people, so if you are, take it outta my place <3. <br> <br/> I love to have fun :D i r fun lubber. <br> <br/> I use weird diction and, I say I a lot because I always be talkin about me ;3 <br> <br/> but i'm not conceited. <br> <br/> Lets be BEE EFF EFFZ. Best friends, yo. ;w; <br> <br/> Feel free to talk to me anytiemz. <br> <br/> also, if you rp on sitemodel or myspace, add me ^o^ <br> <br/> myspace is dead but still. <br> <br/> myspace url: yume_no_sora_bby <br> <br/> sitemodel: lastxchance <br> <br/> <br> <br/> I'm an anime geek and i know almost everything about inuyasha, so yeah :D <br> <br/> <3
ZN33S6BC6A7A3OQVQRAPDEHPCU	I am a Researcher at IIT Bombay.
ZW3AMKMHONY6UVPDRYBL23PI2E	I'm a student studying Animal Management in England at a post 16 college. <br> <br/> I'm in love with JK Rowling's Harry Potter series & have been since I was a small child. I also enjoy reading Manga books, and vampire books. <br> <br/> I also have a strange obsession with the sims even though it frustrates me.
ZYZ3ZKZ4FSRD742XBAX6EOWSS4	I retired and 68 years old. I live in Grants Pass, OR. I have owned a welding shop, Insurance agency, a photography business, been an electrical engineer and a reserve police officer and a reserve deputy sheriff. I am a chaplain for the Elks and hope to become one with the local Sheriffs Dept and Police Dept. <br> <br/> <br> <br/> I am not liberal and I believe in doing good to all. I also believe in fighting to defend my country and my family....1Tim 5:8 (Bible verse). <br> <br/> <br> <br/> I am concerned that the voice of the people falls on deaf ears. I have tried forzever to get someone to at least hear the ideas I have to better this country. They are sound ideas based on common sense (which is not too common) and simplicity. My ideas include the following: 1. how to at least double your gas milage in an automobile; 2. Make the people fighting us in the Middle East think twice before attacking us (President Rosevelt used this method with GREAT success!); 3. Help promote less violence in our nation, etc...AND NOBAMA!!!!
ZDFQCKFFI44RIOFEHSZ6URODPQ	I enjoy Y/A a lot and respect different opinions. I am passionate about helping to end human-trafficking or modern-day slavery. It is a global crime and many sex slaves or forced laborers are imported into the US every year. You can make a difference. Please visit Shared Hope, Polaris Project or Angel Coalition websites and become informed. Thank you!
ZAQSTJDAMXQUQF3LRAHIKTWXCM	I live in Arkansas <br> <br/> With my mother, brother, and paw. <br> <br/> Our trailer is a double wide <br> <br/> So there's no place to really hide. <br> <br/> I skip school now and then <br> <br/> like the rest of my next of kin. <br> <br/> My favorite place is in the wzoods <br> <br/> it's a lot safer then those who live in the hoods. <br> <br/> I don't like rap cause I can't tap or whistle to the tune <br> <br/> just like music I can lay out on the porch till way past noon. <br> <br/> I'm easy for some and hard on others <br> <br/> and I'm not fat like Sally Struthers. <br> <br/> I don't drive or have a car <br> <br/> cause I never have to go that far. <br> <br/> I'm always open for friendly chat <br> <br/> get to nasty, I'll hit you with a bat.
ZRF2PF7VXIUXLEKO66F3RKWKEI	I'm a Natural health practitioner originally from NZ - Reflexology, Hypnotherapy and TAT. <br> <br/> Also co-author of a new book: <br> <br/> "The Secret to a Fabulous Wedding" <br> <br/> <br> <br/> <a href="http://www.yourholistichealthcare.com" rel="nofollow">http://www.yourholistichealthcare.com</a> <br> <br/> <a href="http://www.befollowingyourdreams.com" rel="nofollow">http://www.befollowingyourdreams.com</a> <br> <br/> <a href="http://www.bestweddingcoach.com" rel="nofollow">http://www.bestweddingcoach.com</a> <br> <br/> <br> <br/> I organize these groups in LA: <br> <br/> http://www.meetup.com/HolisticPractitionersLA <br> <br/> http://www.meetup.com/WomensWellnessLA
Z4SBBLVRTVVEXEKGJF3MBNROLU	<a href="http://www.savingsbonds.com/buying-us-savings-bonds.cfm" rel="nofollow">http://www.savingsbonds.com/buying-us-sa...</a> <br> <br/> Brands made in the USA: <br> <br/> Glad drinking straws <br> <br/> FiestaWare dishes <br> <br/> Pyrex <br> <br/> Libman <br> <br/> All-Clad cookware
ZFB454UBEBCUQ65GEUQJ7SN6JU	name's kyle <br> <br/> likes: football, miami hurricanes, PS3, partying, girls, hanging with friends and family, the beach, cars (exotics preferably), yellow gold, rap, rock and country that sounds like rock, entourage or anything on spike tv and movies, moderate lean right <br> <br/> <br> <br/> majoring in Business Administration, planning on getting an MBA from either Rollins, Miami, or Columbia <br> <br/> <br> <br/> dislikes: florida gators, reality shows, chick flicks, current economic state, waiting, math, and pessimistic people
ZBASGKGVOSCI2UOBWKF4HTJC3E	Hiay <br> <br/> <br> <br/> I am in UK <br> <br/> I'm a tomboy <br> <br/> <br> <br/> I have a funny laugh <br> <br/> <br> <br/> <br> <br/> <br> <br/> I like Music and also I like different things
ZUGDEF3SGL3UKQ25EJIRMWTDRU	Business person for nearly 10 years in which time I have owned seven different companies. <br> <br/> <br> <br/> I currently hold a Phd in Psychology, specializing in business philosophy. <br> <br/> <br> <br/> Currently I am taking a couple of years to myself living between the US and Mexico where I plan to one day retire. <br> <br/> <br> <br/> What I will always live by: Life's journey is not to arrive at the gave safely in a well preserved body. But rather to skid in sideways totally worn out shouting holy crap what a ride!
Z4WYGTPMY6QXTOTVKWRDYS7DKM	I am 50 years of age,male, engaged in medicinal crops plantation and extraction. have fairly good workable knowledge on health. i am located near new delhi, india. For 23 years worked at various levels in merchant navy to reach Captain's rank and travelled around the globe many times.
ZCW3Q2RKH4D5BK2KWLKKSHSO6I	Well I'm currently in Iraq and I'm 22 year old male from Missouri and I'm happily married with 1 son who is the light of my life and I can't wait to get home to see him.
Z55EWJM6HDFYTHGWZ7OBTNE73Y	I am a Hypnotherapist and Life Coach with centres in Manchester, Glossop and Sheffield ( <a href="http://www.okehypnotherapy.co.uk" rel="nofollow">http://www.okehypnotherapy.co.uk</a> ). I also teach Hypnotherapy at British Ethical School of Therapies. <br> <br/> <br> <br/> In my spare time, I act in theatres and also do some professional acting in "live action" horror shows and street theatre!
ZNI4B2HNVAPKNMVZY6SEWTU56A	I am retired and live in Southern California, married with 2 grown sons. enjoy Family, and especially my grandsons, gardening, and my pet cat.
Z4C7UQRT42WLD2ZIKWPILDJEUM	Hi my names Jordan I'm a 17 year old boy who likes to help people who are having a rough time
Z7SI5L5D6XPBTCUKJNOMWQUUYA	My name is Johnathan and I live in Arizona with my beautiful wife and three dogs.
ZK53AWXCH32OFIQDZ24JYNBJZU	My name's Leo! I'm a 15 year old bisexual atheist from England. If you're interested in finding out more about me, then check out my blog at www.ruminidas.blogspot.com, where I write about a lot of different subjects and issues that interests me, and I'll write a fair bit about myself, too :).
ZIYRQ5UI3SVKXEEYUG37J2APME	I know a little bit about diet/ being vegan, cats, video games, playing the french horn, music (indie hip- hop, trance, punk, etc.), yoga, waiting tables, drawing/ anatomy/ animation (degree from the Art Institute of Pittsburgh, or as I like to call it "The waiter institute of Pittsburgh"), writing/ grammar (I have a book published), stand- up comedy (I do it on an amateur level), being diplomatic (I was a middle child and I was damn good at it), and why NOT to do any drugs. I seem pretty talented when I write it all down...why am I a waiter again?
ZISQAW2OHZDH7JFOIIDU3KFC7Y	Self Related: <br> <br/> I'm Glenn, my age is 21 and I live in Northern Ireland where everyone is drunk, ginger and we love green clothes. I've quite a few jobs though my two main jobs would be Winelodge Supervisor and Cocktail Bartender. I like to answer questions usually in the "Video & Online Games" category. My first game ever played was Sonic the hedgehog and I'll never forget it, because my sister got jealous and broke my console a few hours later. <br> <br/> <br> <br/> Xbox Related: <br> <br/> GT - Project Type <br> <br/> Been on Xbox Live for 4 years now I think, possibly 5 this Christmas. I'm not entirely great at online games - this day and age everyone plays to win, I'm just there for the fun of it. I really need a better microphone! <br> <br/> <br> <br/> PC Related: <br> <br/> I have Steam, quite a lot of games on it. I've played RuneScape in the past, had a maxed out account with quite a lot of good stuff on it. I don't play anymore though and I lent the account to a friend to mess about on. Currently playing 
ZMQAV56R7SIF3WTPDRST2KKDJ4	I am 20, live on the west coast of USA and I am studying at college (when I am not playing).
ZRHGZLHKYYIEEKLGZBGGNVN5PE	I am a gr8 cute sweet at heart ! i m still a young blood of india!
ZPK7HFXST4LG2NSMLQDSMIJ27U	Not much to tell. Live in New York...yep...get a huge bite out of the big apple. <br> <br/> What else? I like reading interesting topics and doing my best to help people out. <br> <br/> Pre-med student.
Z5DBP7GQ4WU6FHUHHEHOGV3EIU	old account got suspended. i hope i get it back but anyway here's a link to my last fm add me if your a reg or last fm user, <br> <br/> <br> <br/> oh yeah kid cudi>nas UMAD? <br> <br/> <br> <br/> <a href="http://www.last.fm/user/AKiDnAmEdCuDI15" rel="nofollow">http://www.last.fm/user/AKiDnAmEdCuDI15</a> <br> <br/> <br> <br/> and here is my Tumblr check it out and follow if you want <br> <br/> <br> <br/> <a href="http://cudderswag15.tumblr.com/">http://cudderswag15.tumblr.com/</a> <br> <br/> <br> <br/> and you might find me in basketball sometimes when not in RHH my favorite player is lebron and has been since 04 in cleveland. he's gonna be GOAT when he retires. believe it
Z2732EYGRLMJJIEACMWMHSKUSQ	I'm from NORTH CAROLINA hahaha now thats whats up and I'm funny and a great person to be around and crazy
ZNPDTNVC4VMFO242A2BKC5VAJI	I'm a artist/writer/graphic designer living in Omaha, Nebraska. I'm looking to share whatever knowledge I have and learn along the way. <br> <br/> <br> <br/> Feel free to contact me with questions unless: <br> <br/> -You're asking about illegal software or my registration codes. <br> <br/> - You're going to needlessly insult me and prove that you're an idiot. <br> <br/> - Spam. I shall receive none. <br> <br/> <br> <br/> Otherwise, all is well.
ZB5BJHUKWZKK7RCPDI7REAO4QY	Sunshine has been singing since she was age 2. Professionally she produced her first CD in early 2005 called simply 'Sunshine Sings', all a capella. The Master copy of this CD has been accepted into the Rock and Roll Hall of Fame in Cleveland, Ohio and is in the Archives. <br> <br/> She has also now completed 3 more CDs, some hippie music, etc... Some of the music can be found at www.soundclick.com/MsSunshine or www.myspace.com/sunshinesings
ZDZRTJ3OAWVZMZAM2ZUL3ZOZYM	I'm 18 years old guy. Living in a pretty retarded town in Florida. I love to exercise, nature, video games, read mysteries and thrillers. I love movies that make you think, and jump out of your seat. I'm hispanic, and I'm trying to learn japanese lol. I'm a scorpio and proud of it. <br> <br/> <br> <br/> <a href="http://www.myspace.com/kungfuactionjesus" rel="nofollow">http://www.myspace.com/kungfuactionjesus</a>
ZDLUULGITJZOEKIYGOBOPRO4JA	I'm 19 and live in Utah. I actually like it here too. I recently graduated from High School. I love watching movies, drawing, painting, and making friends. <br> <br/> I believe honesty has become unfortunately rare, so I try to reach out to people. If you need someone to talk to hit me up via email. :P
Z55LI7TKZZMDHNO726SSNH554U	-I'm a horse rider, for 15 years now. <br> <br/> -Into art <br> <br/> -Love animals, psychology, health, nutrition. <br> <br/> -From Toronto, Ontario.
ZLF3JHZMRWISJJDPFY4LRCYUBM	Im a 14-year old green-eyed blond-haired all around California girl and lovin it!!!!
LSGG37ZXFXMWD6LI5KUI6PXNIQ	Hey!!What-up? ;) 'm Liza(with a 'z'). im 17 and i live in miami FL and i like chocolate. im randomm. i go to school for drama, i love my friends and im a generally happy person and i love to laugh. ALOT. um...yeah that's it =)
LVBMGATCIFSM4CR32BVSSNPTJU	I live in Northern California. I'm a Jack of all trades and master of none. <br> <br/> <br> <br/> Live life and party dude!
LQMCLO4XFWAFBBPQMOUNIO3AP4	I have kids furniture and i would like to make business in winnipeg see my product and advice me www.kidsimage.com
LQZ47DDBFNBHT2KW4RI6ZBPQEA	I'm 46. The mother of 6. Grandmother of 8. Have worked mostly in sales or customer service related positions. Including restaruants owned by my family. My last position was Logistics Manager of Critical Parts, for a Fortune 500 company. I have worked with customers and coworkers from all over the world, so I have a teeny bit of insight into different cultures. I live in the San Francisco Bay Area, which is a very diverse community. <br> <br/> <br> <br/> I like to read. Mysteries mostly. I have seen over 2000 movies. I love to travel and visit museums. My favorite TV channels are BBCAmerica (great crime dramas, and Coupling the best comedy ever), TCM (Classic uncut movies) and IFC (uncut Indie films). <br> <br/> <br> <br/> I am a bit of an artist. I am also a recovering addict and have been clean almost 18 years, through the12 steps of NA and the Grace of God. <br> <br/> <br> <br/> My hearts desire is to continue to grow and be a better person. <br> <br/> <br> <br/> May God bless you, whoever you are and whatever your beliefs.
LZA2IQ2PJFMO6CWBM5VZ453FRQ	I am 33 yrs old, a wife, a mom, and a stepmom! I live in North Garland, Texas!
LETAGG5EMNNK7M32LWXFKV5Q34	Name: Marika D. <br> <br/> Live: In Sweden <br> <br/> Love: Fantasy <br> <br/> Hate: Fjortisar <br> <br/> <br> <br/> Favourite book: Harry Potter And The Prisoner Of Azkaban <br> <br/> Favourite language: Swedish <br> <br/> Favourite movie: Harry Potter And The Goblet Of Fire <br> <br/> Faourite TV-series: Buffy The Vampire Slayer <br> <br/> Favourite actress: Sarah Michelle Gellar <br> <br/> Favourite actor: Edward Norton <br> <br/> Favourite tea-flavour: Strawberry and Green tea with mint <br> <br/> Favourite coin: The 5 and the 50-öring. <br> <br/> Favourite colour: Red <br> <br/> Favourite artist/band: Avril Lavigne <br> <br/> <br> <br/> Do I: <br> <br/> Drink coffe? No. <br> <br/> Like Toblerone? Yes. <br> <br/> zHave wavy hair? A bit, yes. <br> <br/> Love Green day? H*ll yeah!!! \,,/ (Seen 'em live) <br> <br/> Want to go to sleep now 'cause it's 2.50 a.m. here? Yes!
LYEZBZLU2DVDGCAFZEQJSCNZ2Y	Names Kate obviously! i love>>> traveling, dogs, reading, outdoors, Biltmore, Egypt, and history!.
LHB4ELQYASEISSLYRNNZBCOGQA	This is Sanket from Ludhiana(Punjab), India. Feel Free to ask.. You can Email me. I always try to help others as much as I can.... My favourite sections are science and mathematics.. And Sometimes I even like Single and Dating section too... :p
LXAA2UJUIEVGNLHTAJEPN2FCLQ	im nice sweet guy,but a thug too latin kingin but when it comes to a girl i treat them right an deep spirited,i live in north philly an 17,18 in august hmu if yu like ill give you my cell <br> <br/> <br> <br/> FOLLOW ME ON TWITTER,I ALWAYS FOLLOW BACK <br> <br/> <br> <br/> <a href="http://twitter.com/#!/just_want_luv" rel="nofollow">http://twitter.com/#!/just_want_luv</a>
L6INKTDAY3W2OO3MLSNGW26524	I live in Oregon - one 4-1/2 year old son, one child on the way.
L4MNLKMDZH7NSLPYFXONYWTRJY	I live in Texas <br> <br/> I have a busy life. <br> <br/> I enjoy family, travel, rodeo, dance and children, <br> <br/> Country and City activities including concerts, zoo, water sports, fishing, dogs and cats and I am a people watcher. I love a good joke and find a lot of things funny.
LYVRAKYPXYBJKLIHQ5AEP4MM6Q	a programmer, living and working in Tokyo with my wife. also a composer of childrens song. studying Yi and related oracles of ancient China. <br> <br/> If you like,please visit: <br> <br/> <a href="http://homepage2.nifty.com/index_Z/" rel="nofollow">http://homepage2.nifty.com/index_Z/</a>
L6XD4BDSHMQ7T3PB4XVZLWL47M	im a filipina residing in japan for 11 years,i speak english,german and nihongo
L7UQNXJEN6HLJK3HQ6DWFLXJYE	I'm a fourth year doctoral candidate in the Department of English at University of Illinois at Chicago. My current project concerns literature and film representations of Holocaust and slavery perpetrators. <br> <br/> <br> <br/> When I'm not teaching or attending class, I'm reading for my book club, making jewelry, or working out at Lakeview Athletic Club. I live in the Lakeview neighborhood of Chicago with my husband Derek and our dogs, Bella and Choco.
LDTZGVSYHIMQHNFE7J3B66XKMA	I'm 15, single, and just moved back from Japan. Yay, and by the way, that's pretty much all you need to know.
LMWLLUA37ZYB5TPJRRRL2PWCEQ	I am a Diplomate of the American Board of Dental Sleep Medicine, and host a weekly radio show as "The Sleep Doctor" on KAAM 770 in the Dallas area
L2MDZDTSX4SAFC5HDAE3KDHAPI	Hi! I'm Maggie, I'm 15 and I live in the USA. <br> <br/> <br> <br/> I'm a little bit crazy and love to laugh. If you don't get my sense of humor you don't get me. I enjoy meeting new people and making new friends. Don't like me? Well that's your problem, because I don't care. <br> <br/> I'm super nice until you get on my bad side, lol, so I recommend you don't. <br> <br/> <br> <br/> If you really want to know about me, you can email me. :D
LA3ZFACLUVECIY47BTWILSB3VQ	Hey my name is (Michael) im 13 yrs old <br> <br/> Im from miami <br> <br/> If you have a problem or question just ask me and ill do my best to answer you. <br> <br/> <br> <br/> Thanks, <br> <br/> Michael
LSTF6SEWMMOTODYSVS6SUI3HM4	I live in Colorado and I'm a teenage girl who loves to have fun :)
LBQNTNWEFAEIRM5KPZJHDUV56Y	I love (watching and playing) the sport of basketball. <br> <br/> <br> <br/> My favorite team is the Los Angeles Lakers (and Miami Heat is my close second). <br> <br/> My favorite (current) players are a tie between Kobe Bryant & Dwyane Wade. <br> <br/> My favorite (all-time) players are a tie between Magic Johnson & Michael Jordan. <br> <br/> <br> <br/> *Add me and I'll add you back.
LGZ3GCPLK76LTLIVZZUWG3NFAM	I'm 14, and gay. I live in Utah (which sucks). Well... if you want to know anything about me, just email me.
LRMOPOCRN4IOX5AVJQ3D25GXII	hiiiii... i m Sarah.. <br> <br/> <br> <br/> i m 16 yrs old & a huge fan of sports.. luv football, cricket (& sometimes c tennis too)... <br> <br/> <br> <br/> luv our cricket: Bangladeshi cricket... :) <br> <br/> <br> <br/> but football is my most favourite sports. i luv BRAZIL & AC MILAN most. i m a crazy fan of brazilian football, i just luv the way they play, they r the all-time champ... hehe.. :D <br> <br/> luv KAKA a lot, as a great player & a nice guy. he's my football-hero!!! actually he's the main reason 4 which i support milan! he's the greatest player iz've ever seen. luv & admire kaka coz he's the king of football!!! <3 <br> <br/> <br> <br/> hey friends, b free, u can mail me anytime, if u wanna say anything. u r always welcome! have a nice time...
LYAVBMQYK3CK4QTAW6FYSGSUBE	My Real Name is:Kogilavani <br> <br/> my native city is:Kota Kinabalu in Malaysia. <br> <br/> i speak Malay,English and Portuguese
LYJDLYJOYHFSTXBQ6NZVA5MLYE	19/M. <br> <br/> <br> <br/> I am doing my B.Tech in Biotechnology at the IIT Madras. <br> <br/> <br> <br/> My interests are Chemistry, Physics and Biochemistry.
LLVPO4LHNAA5TLVACPYKR3LNFI	I'm an outgoing & peaceful artist who's easy to get along with. I'm a solid christian (so I get judged for my beliefs a whole lot). I do enjoy speaking my mind... and am not at all shy about it. <br> <br/> <br> <br/> I love people & care about all types, shapes, colors & ages... even when we share different views. I believe deep down we are all made the same by flesh & bones. We just look different on the outside.. but all people crave the same thing in the end.... "LOVE". Though most people look in all the wrong places; I know we can each receive perfect everlasting unconditional love only through Jesus Christ. <br> <br/> <br> <br/> I love to travel. I've lived most of my life in Orlando, Florida. Now I live in Victoria, Australia. I have family in most of these places & have visited, my birth place - PR, GA, TN, NY, NJ, AZ, CA: LA, St-City, Hollywood, Las Vegas, TX, Virgin Islands - St. Croix, Hawaii: Honolulu - Oahu, Maui & Kauai, Queensland: Gold & Sunshine Coast, Tasmania: Hobart, Launceston, Devonport, Burnie, Stanley.
LSTR3PMLI7VQGVGU6E5GOEFAAE	I am a Wiccan/Shaman/Dragon Mage ,Reiki master , empathic Healer who lives in Perth Western Australia. <br> <br/> I am a single mum of 4, 2 of which are still home . I enjoy working in an enviroment where i am primarily helping people and I am looking for that special some one to share my life with .
LQ2P4K6GEHIWMC3CFI7CSUJQUI	Tour Operator of Victoria Tour Company <a href="http://www.victoriatourvn.com" rel="nofollow">http://www.victoriatourvn.com</a>
LDC45IMZHME2PK3A5NYA7SECNI	Active and involved senior citizen. Radio news is the work I have most enjoyed. Transplanted Texan, living near San Antonio. <br> <br/> <br> <br/> Military retiree, conservative, married, father of sons. Interests include just about everything you can imagizne, including politics, religion, aviation, some science, geography, sociology and family values. <br> <br/> <br> <br/> I am very interested in relationship issues, including romance, marriage, dating, etc. I have experienced divorce and have had a good remarriage, but think the best approach to divorce is to avoid it when we can. <br> <br/> <br> <br/> Now past middle age, I wish I had spent more of my younger years enjoying them. I believe youth truly is wasted on the young. (At least it was on me.) <br> <br/> <br> <br/> Believe we must always continue to try to do better and we never stop growing. <br> <br/> <br> <br/> Born in April 1941 in Chicago.
LU3ACOQY2ZMLLIAIPTD7C32PZE	I'm a high school student studying at Dagupan City, Pangasinan. I love to read books which are fictional and at the same time based on facts.
LKLHFYBIOAB3ZGVEMGNXSEU6G4	I run a complementary medicine practice in Hertfordshire, England working with Emotional Freedom Techniques, and other energy medicine therapies. I have had particular success in helping my clients with alleviating physical ailments, releasing allergies, quit smoking and other addictions, and freedom from post traumatic stress disorder. I work by telephone, internet phone and in person. Please visit my website for more information: www.HealthyinMind.com
L64JDCNSF32IPU4H6EIAX667BY	i smoke medical marijuana, i am very open minded, and i am also educated... kind of??? im 23 from washington state and im the coolest person you haven't met yet.
LGDBHMWMF2OXTOGSA5MHHFAIIE	I am a 26 yr old male in Oregon USA.
LQWZJZS3Z7MRPAHQSPBG5XTSBY	i am 23. i am a sergeant in the us army and am currently deployed in iraq. i am single, 5'8" black hair, brown eyes, average build. i am mexican and im from houston, texas. if there is anything else you would like to know just ask.
LST635IO66CT3TYQPKNZLASUXE	Who/what? Homeschooled photographer/writer. Weirdo. Muppet. Grassroots rabble-rouser. Armchair philosopher. Self-made scholar. Daughter. Sister. Lover to a madman. Lives in New Orleans, moved here from Hawaii, and before that Mount Shasta. Grew up in the Ozarks. I like my family, yoga, Pablo Neruda, Hafiz, dogs (menya Ivan), making, creating, expressing, art, photography, music, and film. History, philosophy, conspiracy, semantics, poetry, languages, cultures, circuses, freaks, artists, musicians, fireflies, cicadas, guns, power tools, dirtbikes, quads, big trucks, muscle cars, crocheting, cooking, gardening, canning, urban and outdoor survival, reading any and everything I can get my hands on, singing, dancing, doing headstands, exploring, rafting, tending fires, rappelling, overcoming fears, climbing trees, playing outside, tasting dirt in new places, documenting everything, being aware of experiencing life every moment, and living until I am dead.
LEIJF7UAHYNINMYTQ6HYR5CHVA	39 on the 20th of april, <br> <br/> guitar player for 20yrs, <br> <br/> lived in essex 20yrs ago, <br> <br/> god i wish i was 20 again.
LFGPKQQLHEAFYQ5POODD5KA6KY	Hi, I go to Colorado virtual academy!I'm uber opinionated and I love making new friends so talk to me!haha! <br> <br/> ashley_kandybarr@yahoo.com!
LATZESTKXAUGREZO5GGK77Y4RU	Guyanese teenager living in New York. <br> <br/> I look foward to school everyday. I like learning alot. Rock is my favorite genre of music. I like hanging out with my friends doing stupid stuff. <br> <br/> Thats about it.
L7QCCHI5QJKARBWKWIBDGSYGCY	Sports addict...played college baseball at Purdue...love the Cubs and Bears...and I think Ted Williams was one of the greatest player to swing a bat... <br> <br/> Grew up near Gary, IN, in Merrillville and Crown Point...closer to Chicago than Indy, so I despise the Colts and Pacers, especially the Colts
LTCITRF2U3MZ5MAFFTOY5MBCYA	My name is diana, i'm 19 years old i live in Las Vegas Nevada...and i'm majoring in criminal justice. Answering questions is my new hobby...i'm a verry happy person with almost a perfect life.... i love everyone! ! !
L5PRTSRRV4MBXTJPTZIM2C54CQ	I am an Authorized Disney Vacation Planner and Universal Studios Specialist for Destinations in Florida. Contact me at (931) 334-5302 or alexia@destinationsinflorida.com
LTIC6X6BENW4K52QUWPHWN6GPU	from ireland like soccer man utd ps3 cars im 13 and i sport munster rugby
LSOLNLQAG7AZROLTQI24WUJTVI	What do you want to know??? <br> <br/> ;) <br> <br/> North Carolina girl.
LHRRAYJ4BZ57LAEQCUGZEOGQVY	I'm Cheyenne. <br> <br/> I love yahoo answers. :D
LXWD6GSFGC7KIOCZCG4EZ55UEY	I'm a life long California resident. Currently manage a tow company in the Sacramento area, over 14 years management experience. Also an art student at American River College. Disneyland annual passholder, several trips to Walt Disney World. Artist, Photographer, Writer, Imagineer wanna be. Theme park junky, Disney Fanatic, I want to design theme park attractions and I study theme parks and how they operate. I also love to travel and see new things and meet new people.
LSQCUTVV7AFVVJRAJPENDMIR4Q	I am south India teaher aimed my life to promote for the Greenery everywhere. The area in which iam living is arid and famine vitim for decades..It moved me and i have found that the Greenery and Water are the antidote for all the evils of the area. So I have devoted my life for this activity...
LJETLLOBWV7EGHND53N3QWOMEQ	I'm Alexis, I'm 23 and I live in Ontario, Canada. I love shopping, makeup, sports and learning about the world around us!
LS47GDTED6RMC2JFTEI3CBDOKU	i m 20 male pakistani why u all hate pakistan any female who wana chat wid me call me 00923014952524 add my id innocent_male_pakistani@yahoo.com
LB5G3ZFOJMASHNIK324EDYGSRE	I'm 16 and a junior. I live in Dallas, Texas. I play bass, run cross country, and love airplanes. I also love photography. <br> <br/> My Gallery: <a href="http://www.flyboy422.deviantart.com" rel="nofollow">http://www.flyboy422.deviantart.com</a> <br> <br/> <br> <br/> <br> <br/> RIP SSGT CHRISTOPHER S. FROST U.S. AIR FORCE. Rest easy... <br> <br/> And when he gets to Heaven to Saint Peter he will tell, "Just another soldier reporting sir. I've served my time in hell." <br> <br/> -Soldier's Prayer
LNSA2YRYHHX4NJJC7JUAANADGM	Arab atheist and former Muslim. Free thinker, logical thinker, rational thinker, reality thinker and factual thinker. Find me in the Ramadan, Lebanon, Egypt, Israel and UAE sections. Sometimes in Diet & Fitness ;)
LJX5DDJFHU6B54IUFZHDNQXIWQ	I teach computer engineering at Virginia Tech. I used to be a math teacher as well.
LRULA4TCGFK72H6IQO5KF2DG7A	I'm just ORDINARY girl who wants to be a mangaka and writer. <br> <br/> <br> <br/> I like all about Japan very much. and I want to know everything about it.
LZ5J562XLUH6CFOEHCQLJSVLP4	Hi, my name is Thelma Okoro. I was born in Nigeria but now I live in the United States. <br> <br/> <br> <br/> I have the immense passion for hair and beauty so will cover general hair and beauty topics. For specialty topics like hair extensions, make sure to visit our blog site z<a href="http://www.facesofony.com" rel="nofollow">http://www.facesofony.com</a>
L6KFMLL5MBBSFZJG2RQS3KMEAQ	I'm a member of The Church of Jesus Christ of Latter-day Saints pursuing a PhD in High Energy Physics in Utah.
